Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Chile;Green GDP;8344707235;10196604218;11168580982;15945685896;14844529951;6539726336;9309121635;13150491936;15118856655;20481565881;27523166286;33237695579;24155396351;19013639662;18485290183;16493592144;17863183638;20887534552;23943589139;27283462745;30781604223;35672275500;43793243190;47415729576;54720030846;70270256697;74603662092;80959752620;78555646802;71550542011;73183872889;67474614837;66352450335;71475300870;91591220008;1,13366E+11;1,36183E+11;1,52257E+11;1,58325E+11;1,55848E+11;1,98916E+11;2,29903E+11;2,44121E+11;2,56315E+11;2,39442E+11;2,26794E+11;2,35503E+11;2,59901E+11;2,77521E+11;2,60939E+11
China;Green GDP;83932301512;89920775199;1,0312E+11;1,2725E+11;1,29467E+11;1,43809E+11;1,32546E+11;1,51328E+11;1,2201E+11;1,4111E+11;1,50064E+11;1,54483E+11;1,67051E+11;1,95954E+11;2,24228E+11;2,70685E+11;2,68028E+11;2,35707E+11;2,73624E+11;3,06544E+11;3,14799E+11;3,42569E+11;3,85035E+11;4,01762E+11;5,2117E+11;6,87143E+11;8,12375E+11;9,11033E+11;9,85416E+11;1,04694E+12;1,15275E+12;1,28019E+12;1,41027E+12;1,58771E+12;1,84007E+12;2,145E+12;2,58017E+12;3,3421E+12;4,26981E+12;4,89952E+12;5,75649E+12;7,09229E+12;8,21972E+12;9,28044E+12;1,02067E+13;1,08584E+13;1,10388E+13;1,20895E+13;1,36562E+13;1,40849E+13
Colombia;Green GDP;6753387613;7345885775;8188184294;9774345101;11402449627;12152132746;14405012716;18637504475;22380883493;26567834622;31770329266;34807803528;37701038273;37192127101;36712200390;33287315696;33495879293;34141274862;37301629721;36988819293;44733825690;47054517636;56360726125;64400941419;79737194446;89982395471;93772112186;1,03469E+11;96136807194;82315277383;94667533608;94543960811;94054356169;89994161828;1,11056E+11;1,37898E+11;1,51386E+11;1,95826E+11;2,27305E+11;2,22229E+11;2,71666E+11;3,10511E+11;3,46011E+11;3,57346E+11;3,5835E+11;2,80901E+11;2,73736E+11;3,00846E+11;3,227E+11;3,11688E+11
Comoros;Green GDP;132879581,4;142463045;151632280,9;154249341,9;163662635,6;174233885,5;180846070,8;187673768,2;195419718,9;198665464,4;209096822;193691705,6;182103325,9;189506027,7;183380234,1;195544343,5;278011084,9;336280284,8;355122596,1;340188709,8;428583050,6;422876661,9;455938806,1;451299626,4;317152988,8;395104317,5;392457897,6;360482856,1;365918381,4;379029457,7;346211862,5;374264643,7;419671223,7;539608164,3;626552940,6;646478372,8;690030818,7;785530658,4;900781900,1;888942143,6;895353298,4;1009750068;999820366,9;1099297064;1131676303;944668034,8;991132339,7;1056000396;1154930177;1161864075
Congo, Dem. Rep.;Green GDP;4610185369;5316572894;5892599008;7578955287;9295885023;9936928595;9344469606;12035365849;15084779130;14741108468;14048344623;12162801268;13375945337;10655901225;7504656717;6880691061;7757072069;7302996708;8507374295;8676627142;9014123153;9303508991;7912302686;10393538474;5521288382;5318565432;5427974641;5777893762;5951341703;4407432646;18804435593;7106492921;8256450793;8192509873;9302327207;10701471175;12886101527;14608896071;16733354593;15200929370;17624189119;20516512617;22823312931;24345507207;26874225730;29587379173;29294806544;29066120568;37692816611;37272481065
Congo, Rep.;Green GDP;169918046;213503353,1;298752676,7;415877721,6;371421673,3;589848224,2;562089280,5;585081355,1;678921263,3;845724676,7;1298218376;1661630772;1902322788;1702104065;1647060990;1625703698;1552362212;1807086962;1721715352;1601009968;1903186054;2146146569;2232928886;1033492304;1220509267;1573909873;1849324999;1537232980;1567299221;1744761861;2147049530;1910508135;2151391873;2733306844;3395021770;3882980384;4734146463;5652217343;8031847358;6623625700;7230072071;8677937046;7775090279;9289005128;9864821657;6597875888;7592692926;6277637568;10010847779;9161388800
Costa Rica;Green GDP;889714513,6;973718795,8;1127695142;1382623960;1508220782;1758537499;2231270952;2847461460;3271092687;3710949974;4548193574;2287185874;2246518448;2962809349;3509718199;3769996417;4251264870;4320476926;4401550881;5042858061;5475345898;6946150753;8280318681;9284272183;10130247913;11149244133;11290894585;12246447298;13381723699;13978292618;14743001149;15692472787;16278897482;16926508012;18224639387;19619293440;22178814543;26248226592;30110021747;30056604102;36629627012;41689423541;45829574427;49019520854;49734154339;54031348445;56308017666;58074341114;59688435146;61021599246
Cote d'Ivoire;Green GDP;1294972481;1415028962;1669559881;2330475616;2883911243;3686993616;4450297644;6037794968;7676225369;8917251975;9945301333;8197046849;7319561927;6564767430;6539532873;6650440274;8896877249;9785877880;9953053844;9544754293;10620940262;10320622606;10973243802;10849476996;8112749515;10780219836;11869961750;11463174202;12394604660;12149507649;10456058766;10926613583;12050480175;14951364116;16058361822;16241108079;16472884709;19211628061;22817089078;23264211975;23645154476;23726415392;25091492802;29756857942;34027810709;44726212081;46629362968;49968944170;55902424267;56936255009
Croatia;Green GDP;10371444535;11324688620;12768199929;13368433952;14585622980;15611527179;16254614844;17284930906;18027730930;18779228883;19569846164;21227139996;22226699230;25130246289;28353273687;29572823356;38666196023;34924908495;29235213161;25604676264;18239743037;12180988530;14910162345;17255970695;19532695897;22077050929;23333377319;23445781329;25129377120;23028939240;21204671234;22686887728;26290787254;34127525050;40990183518;44721833716;49634882700;59320134278;69307639160;61678087392;58813277499;61234630585;55520529371;57202952379;56917368724;48913890174;51004522722;54678070584;60262559250;59928501549
Cuba;Green GDP;5467089905;6679809879;7878045123;9714051874;11114574753;12685533479;13428629436;13818995060;17453071983;19149265528;19490310329;19690885783;20486577397;21757080120;23552062160;22424002575;23752078074;24705762645;26851598959;26406954653;28102537648;23849363003;21722473083;22016362419;28080697963;29989249391;24458281514;24873853301;25331106797;27885472283;29909381939;31095014699;33055525476;35236296122;37375950097;41682892920;51554359510;56204190528;59013642424;60992525282;62780573803;67060824882;71388634791;75529537671;79216339528;86347729199;90064561332;95418858873;98469494148;1,13712E+11
