date,Temperatura,Rainfall (mm)
2017-05-16,26.383333333333336,0.0062499999999999995
2017-05-17,26.141666666666666,0.31250000000000006
2017-05-18,27.902083333333334,0.0
2017-05-19,28.174999999999997,0.0
2017-05-20,26.691666666666666,0.0062499999999999995
2017-05-21,27.758333333333336,0.0
2017-05-22,24.397916666666664,0.08124999999999999
2017-05-23,25.28125,0.0062499999999999995
2017-05-24,23.395833333333332,1.04375
2017-05-25,26.104166666666668,0.0
2017-05-26,27.68541666666667,0.0
2017-05-27,26.285416666666666,0.43333333333333335
2017-05-28,26.075,0.8625000000000002
2017-05-29,27.164583333333336,0.016666666666666666
2017-05-30,26.068749999999998,0.0375
2017-05-31,26.135416666666668,0.28541666666666665
2017-06-01,25.929166666666664,0.09375
2017-06-02,27.183333333333334,0.0
